CCODE SCODE STARTDATE STARTYEAR ENDDATE ENDYEAR XRREG XRCOMP XROPEN XCONST PARREG PARCOMP DEMOCRACY AUTOCRACY POLITY ORIGIN
2 USA 1/1/1816 1816 1/3/1845 1845 3 3 4 7 2 4 9 0 9 1
2 USA 2/3/1845 1845 29/1/1850 1850 3 3 4 7 5 5 10 0 10 0
2 USA 30/1/1850 1850 30/5/1854 1854 3 3 4 7 2 4 9 0 9 0
2 USA 31/5/1854 1854 31/5/1865 1865 3 3 4 7 2 3 8 0 8 0
2 USA 1/6/1865 1865 30/6/1871 1871 3 3 4 7 3 4 9 1 8 0
2 USA 1/7/1871 1871 31/12/2007 2007 3 3 4 7 5 5 10 0 10 0
20 CAN 1/7/1867 1867 30/6/1888 1888 3 3 4 7 4 2 7 3 4 0
20 CAN 1/7/1888 1888 5/12/1921 1921 3 3 4 7 5 4 9 0 9 0
20 CAN 6/12/1921 1921 31/12/2007 2007 3 3 4 7 5 5 10 0 10 0
31 BHM 10/7/1973 1973 30/6/1981 1981 . . . . . . . . 10 8
31 BHM 1/7/1981 1981 30/6/1991 1991 . . . . . . . . 7 7
31 BHM 1/7/1991 1991 31/12/2007 2007 . . . . . . . . 10 7
40 CUB 20/5/1902 1902 9/2/1917 1917 3 3 4 3 2 3 4 1 3 0
40 CUB 10/2/1917 1917 20/5/1917 1917 -66 -66 -66 -66 -66 -66 -66 -66 -66 0
40 CUB 21/5/1917 1917 30/6/1928 1928 3 3 4 3 2 3 4 1 3 0
40 CUB 1/7/1928 1928 5/9/1933 1933 3 3 4 1 2 3 4 3 1 0
40 CUB 6/9/1933 1933 10/3/1952 1952 3 3 4 3 2 3 4 1 3 0
40 CUB 11/3/1952 1952 15/6/1955 1955 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 16/6/1955 1955 1/1/1959 1959 2 1 4 1 4 1 0 9 -9 0
40 CUB 2/1/1959 1959 15/1/1960 1960 -77 -77 -77 -77 -77 -77 -77 -77 -77 0
40 CUB 16/1/1960 1960 2/12/1961 1961 -88 -88 -88 -88 -88 -88 -88 -88 -88 0
40 CUB 3/12/1961 1961 31/12/1976 1976 1 0 0 1 4 1 0 7 -7 0
40 CUB 1/1/1977 1977 30/7/2006 2006 2 0 0 1 4 1 0 7 -7 0
40 CUB 31/7/2006 2006 31/12/2007 2007 2 1 4 3 4 1 0 7 -7 0
